iter, hl, mif1, avp, log_loss, hl_val, mif1_val, avp_val, log_loss_val, sparsity, HV_mu, HV_max, HV_min, HV_std, weight_mu, weight_std
1, 0.466628, 0.878173, 0.760451, 20.067281, 0.466529, 0.878045, 0.759837, 20.077086, 4117.134925, 0.016453, 0.016453, 0.016453, 0.000000, 0.021458, 1.015162
2, 0.415368, 0.866743, 0.806578, 20.428762, 0.415371, 0.866648, 0.806165, 20.441829, 4316.083691, 0.017822, 0.019191, 0.016453, 0.001369, -0.031042, 1.059085
3, 0.415368, 0.866743, 0.806578, 20.428762, 0.415371, 0.866648, 0.806165, 20.441829, 4316.083691, 0.019882, 0.024003, 0.016453, 0.003121, -0.031042, 1.059085
4, 0.441015, 0.870473, 0.574446, 19.363570, 0.440915, 0.870197, 0.574137, 19.372292, 4617.889763, 0.023883, 0.035883, 0.016453, 0.007437, -0.009817, 1.148274
5, 0.426262, 0.880960, 0.607880, 20.750572, 0.426244, 0.880918, 0.607751, 20.757933, 4892.885299, 0.026075, 0.035883, 0.016453, 0.007967, -0.034092, 1.209297
6, 0.433590, 0.875151, 0.543334, 19.646914, 0.433439, 0.874971, 0.543154, 19.662196, 5115.034544, 0.028181, 0.038709, 0.016453, 0.008664, -0.022279, 1.264114
7, 0.384279, 0.852358, 0.471922, 19.447666, 0.384174, 0.852117, 0.470905, 19.447858, 5267.303509, 0.031247, 0.049646, 0.016453, 0.010989, -0.036200, 1.313273
8, 0.384279, 0.852358, 0.471922, 19.447666, 0.384174, 0.852117, 0.470905, 19.447858, 5267.303509, 0.033871, 0.052234, 0.016453, 0.012403, -0.036200, 1.313273
9, 0.292103, 0.826050, 0.473531, 19.129525, 0.292111, 0.825775, 0.473355, 19.138047, 4159.725621, 0.036570, 0.058169, 0.016453, 0.013966, -0.040268, 1.027644
10, 0.384279, 0.852358, 0.471922, 19.447666, 0.384174, 0.852117, 0.470905, 19.447858, 5267.303509, 0.038462, 0.058169, 0.016453, 0.014414, -0.036200, 1.313273
11, 0.384279, 0.852358, 0.471922, 19.447666, 0.384174, 0.852117, 0.470905, 19.447858, 5267.303509, 0.040187, 0.058169, 0.016453, 0.014786, -0.036200, 1.313273
12, 0.275475, 0.819723, 0.503108, 18.999865, 0.275438, 0.819444, 0.502987, 19.012672, 4763.539321, 0.042246, 0.064898, 0.016453, 0.015718, -0.042877, 1.175555
13, 0.384279, 0.852358, 0.471922, 19.447666, 0.384174, 0.852117, 0.470905, 19.447858, 5267.303509, 0.044365, 0.069796, 0.016453, 0.016791, -0.036200, 1.313273
14, 0.384279, 0.852358, 0.471922, 19.447666, 0.384174, 0.852117, 0.470905, 19.447858, 5267.303509, 0.046267, 0.070987, 0.016453, 0.017573, -0.036200, 1.313273
15, 0.218069, 0.780536, 0.497717, 18.713007, 0.218051, 0.780366, 0.497421, 18.719010, 5339.839912, 0.048335, 0.077283, 0.016453, 0.018657, -0.054701, 1.304383
16, 0.384279, 0.852358, 0.471922, 19.447666, 0.384174, 0.852117, 0.470905, 19.447858, 5267.303509, 0.050604, 0.084641, 0.016453, 0.020089, -0.036200, 1.313273
17, 0.192276, 0.754700, 0.713348, 18.696270, 0.192354, 0.754542, 0.713267, 18.711902, 6732.181695, 0.053333, 0.096999, 0.016453, 0.022338, -0.068239, 1.652323
18, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.056771, 0.115213, 0.016453, 0.025926, -0.074771, 1.696697
19, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.059633, 0.115213, 0.016453, 0.028004, -0.074771, 1.696697
20, 0.161749, 0.737642, 0.430605, 18.460630, 0.161688, 0.737215, 0.430115, 18.467006, 6126.178717, 0.061306, 0.115213, 0.016453, 0.028253, -0.076195, 1.502970
21, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.064151, 0.121040, 0.016453, 0.030365, -0.074771, 1.696697
22, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.065776, 0.121040, 0.016453, 0.030587, -0.074771, 1.696697
23, 0.150806, 0.727315, 0.420331, 18.703908, 0.150780, 0.726953, 0.419569, 18.715065, 6524.924610, 0.067952, 0.121040, 0.016453, 0.031609, -0.086268, 1.607882
24, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.069980, 0.121040, 0.016453, 0.032436, -0.074771, 1.696697
25, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.071831, 0.121040, 0.016453, 0.033048, -0.074771, 1.696697
26, 0.173088, 0.729736, 0.410234, 18.895607, 0.173006, 0.729357, 0.409350, 18.904528, 6951.362412, 0.074018, 0.128714, 0.016453, 0.034203, -0.096962, 1.713858
27, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.075977, 0.128714, 0.016453, 0.035018, -0.074771, 1.696697
28, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.077595, 0.128714, 0.016453, 0.035400, -0.074771, 1.696697
29, 0.167737, 0.733523, 0.432158, 18.935869, 0.167632, 0.732932, 0.430782, 18.942399, 7396.400738, 0.079062, 0.128714, 0.016453, 0.035640, -0.099371, 1.816426
30, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.080849, 0.132662, 0.016453, 0.036338, -0.074771, 1.696697
31, 0.161062, 0.736981, 0.499002, 19.992241, 0.160957, 0.736358, 0.497919, 19.980722, 6937.771886, 0.082363, 0.132662, 0.016453, 0.036696, -0.074771, 1.696697
