iter, hl, mif1, avp, log_loss, hl_val, mif1_val, avp_val, log_loss_val, sparsity, HV_mu, HV_max, HV_min, HV_std, weight_mu, weight_std
1, 0.469534, 0.886497, 0.760536, 21.337728, 0.469513, 0.886492, 0.760234, 21.371872, 4096.034828, 0.015776, 0.015776, 0.015776, 0.000000, 0.015268, 1.009593
2, 0.469534, 0.886497, 0.760536, 21.337728, 0.469513, 0.886492, 0.760234, 21.371872, 4096.034828, 0.019461, 0.023146, 0.015776, 0.003685, 0.015268, 1.009593
3, 0.469534, 0.886497, 0.760536, 21.337728, 0.469513, 0.886492, 0.760234, 21.371872, 4096.034828, 0.021514, 0.025621, 0.015776, 0.004182, 0.015268, 1.009593
4, 0.381139, 0.842449, 0.570954, 18.697058, 0.381084, 0.842336, 0.570596, 18.712058, 2760.974658, 0.023821, 0.030743, 0.015776, 0.005393, -0.004181, 0.683625
5, 0.407634, 0.859361, 0.550785, 19.155028, 0.407510, 0.859125, 0.549876, 19.166241, 4887.254780, 0.026785, 0.038638, 0.015776, 0.007642, -0.010516, 1.211678
6, 0.407634, 0.859361, 0.550785, 19.155028, 0.407510, 0.859125, 0.549876, 19.166241, 4887.254780, 0.029406, 0.042510, 0.015776, 0.009111, -0.010516, 1.211678
7, 0.407634, 0.859361, 0.550785, 19.155028, 0.407510, 0.859125, 0.549876, 19.166241, 4887.254780, 0.031719, 0.045600, 0.015776, 0.010162, -0.010516, 1.211678
8, 0.375268, 0.851833, 0.486155, 19.025379, 0.375246, 0.851711, 0.485444, 19.036671, 3925.694560, 0.033555, 0.046404, 0.015776, 0.010674, -0.024506, 0.966715
9, 0.407634, 0.859361, 0.550785, 19.155028, 0.407510, 0.859125, 0.549876, 19.166241, 4887.254780, 0.035428, 0.050410, 0.015776, 0.011373, -0.010516, 1.211678
10, 0.407634, 0.859361, 0.550785, 19.155028, 0.407510, 0.859125, 0.549876, 19.166241, 4887.254780, 0.037080, 0.051956, 0.015776, 0.011874, -0.010516, 1.211678
11, 0.339695, 0.828985, 0.453901, 19.274023, 0.339682, 0.828821, 0.453020, 19.280506, 4619.608411, 0.039156, 0.059912, 0.015776, 0.013087, -0.031015, 1.135947
12, 0.311654, 0.826154, 0.556820, 19.210193, 0.311571, 0.825896, 0.556588, 19.216553, 6132.026192, 0.041263, 0.064443, 0.015776, 0.014347, -0.038730, 1.502727
13, 0.311654, 0.826154, 0.556820, 19.210193, 0.311571, 0.825896, 0.556588, 19.216553, 6132.026192, 0.042764, 0.064443, 0.015776, 0.014731, -0.038730, 1.502727
14, 0.311654, 0.826154, 0.556820, 19.210193, 0.311571, 0.825896, 0.556588, 19.216553, 6132.026192, 0.043997, 0.064443, 0.015776, 0.014875, -0.038730, 1.502727
15, 0.358600, 0.842615, 0.429234, 19.624690, 0.358565, 0.842394, 0.428298, 19.631957, 5375.982777, 0.045445, 0.065730, 0.015776, 0.015359, -0.045894, 1.330414
16, 0.311654, 0.826154, 0.556820, 19.210193, 0.311571, 0.825896, 0.556588, 19.216553, 6132.026192, 0.046518, 0.065730, 0.015776, 0.015441, -0.038730, 1.502727
17, 0.311654, 0.826154, 0.556820, 19.210193, 0.311571, 0.825896, 0.556588, 19.216553, 6132.026192, 0.047488, 0.065730, 0.015776, 0.015474, -0.038730, 1.502727
18, 0.334134, 0.837478, 0.412377, 19.828174, 0.334108, 0.837305, 0.411448, 19.831508, 5848.141876, 0.048320, 0.065730, 0.015776, 0.015425, -0.064995, 1.452159
19, 0.282141, 0.807747, 0.450725, 19.722570, 0.282127, 0.807602, 0.449611, 19.720710, 6972.681443, 0.049980, 0.079848, 0.015776, 0.016582, -0.077715, 1.723509
20, 0.282141, 0.807747, 0.450725, 19.722570, 0.282127, 0.807602, 0.449611, 19.720710, 6972.681443, 0.051462, 0.079848, 0.015776, 0.017405, -0.077715, 1.723509
21, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.053605, 0.096476, 0.015776, 0.019504, -0.056323, 1.794754
22, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.054736, 0.096476, 0.015776, 0.019747, -0.056323, 1.794754
23, 0.237241, 0.782895, 0.392644, 19.088638, 0.237163, 0.782589, 0.391737, 19.088381, 6579.838402, 0.055931, 0.096476, 0.015776, 0.020111, -0.069239, 1.633162
24, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.057375, 0.096476, 0.015776, 0.020870, -0.056323, 1.794754
25, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.058629, 0.096476, 0.015776, 0.021352, -0.056323, 1.794754
26, 0.249384, 0.790516, 0.396018, 19.298495, 0.249340, 0.790255, 0.395276, 19.301015, 7020.510633, 0.060138, 0.097863, 0.015776, 0.022255, -0.077746, 1.734675
27, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.061529, 0.097863, 0.015776, 0.022961, -0.056323, 1.794754
28, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.062838, 0.098197, 0.015776, 0.023551, -0.056323, 1.794754
29, 0.224030, 0.773496, 0.413282, 19.171802, 0.224046, 0.773306, 0.412849, 19.176081, 7396.852336, 0.064083, 0.098943, 0.015776, 0.024061, -0.090603, 1.821872
30, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.065297, 0.100499, 0.015776, 0.024543, -0.056323, 1.794754
31, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.066334, 0.100499, 0.015776, 0.024803, -0.056323, 1.794754
32, 0.228881, 0.777220, 0.417704, 19.333025, 0.228821, 0.776919, 0.417162, 19.335398, 7714.427251, 0.067453, 0.102152, 0.015776, 0.025195, -0.091988, 1.908175
33, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.068852, 0.113620, 0.015776, 0.026042, -0.056323, 1.794754
34, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.069914, 0.113620, 0.015776, 0.026372, -0.056323, 1.794754
35, 0.227106, 0.779298, 0.409002, 19.622279, 0.227048, 0.779067, 0.408143, 19.625709, 8009.589197, 0.071206, 0.115110, 0.015776, 0.027061, -0.095737, 1.982292
36, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.072557, 0.119841, 0.015776, 0.027854, -0.056323, 1.794754
37, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.073769, 0.119841, 0.015776, 0.028422, -0.056323, 1.794754
38, 0.214934, 0.764575, 0.393868, 19.663920, 0.214872, 0.764308, 0.393186, 19.655436, 8296.359910, 0.074906, 0.119841, 0.015776, 0.028885, -0.111851, 2.056667
39, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.075856, 0.119841, 0.015776, 0.029108, -0.056323, 1.794754
40, 0.246501, 0.786139, 0.401303, 19.112188, 0.246508, 0.786075, 0.400549, 19.129314, 7196.887756, 0.077068, 0.124334, 0.015776, 0.029721, -0.056323, 1.794754
