iter, hl, mif1, avp, log_loss, hl_val, mif1_val, avp_val, log_loss_val, sparsity, HV_mu, HV_max, HV_min, HV_std, weight_mu, weight_std
1, 0.386206, 0.912788, 0.411618, 3.997741, 0.386278, 0.913108, 0.410716, 3.992996, 90894.859973, 0.032860, 0.032860, 0.032860, 0.000000, 0.000513, 0.998570
2, 0.386206, 0.912788, 0.411618, 3.997741, 0.386278, 0.913108, 0.410716, 3.992996, 90894.859973, 0.033738, 0.034617, 0.032860, 0.000878, 0.000513, 0.998570
3, 0.349561, 0.888498, 0.428413, 4.147919, 0.349617, 0.888655, 0.427591, 4.137872, 98809.590769, 0.036339, 0.041540, 0.032860, 0.003747, -0.000888, 1.085371
4, 0.349561, 0.888498, 0.428413, 4.147919, 0.349617, 0.888655, 0.427591, 4.137872, 98809.590769, 0.036935, 0.041540, 0.032860, 0.003405, -0.000888, 1.085371
5, 0.298765, 0.869739, 0.400109, 3.810193, 0.298838, 0.870161, 0.399514, 3.804496, 62251.286001, 0.040407, 0.054295, 0.032860, 0.007583, -0.001300, 0.683812
6, 0.349561, 0.888498, 0.428413, 4.147919, 0.349617, 0.888655, 0.427591, 4.137872, 98809.590769, 0.042635, 0.054295, 0.032860, 0.008528, -0.000888, 1.085371
7, 0.349561, 0.888498, 0.428413, 4.147919, 0.349617, 0.888655, 0.427591, 4.137872, 98809.590769, 0.045205, 0.060627, 0.032860, 0.010098, -0.000888, 1.085371
8, 0.270258, 0.854326, 0.388521, 4.879953, 0.270311, 0.854610, 0.387785, 4.871049, 116952.904637, 0.048496, 0.071531, 0.032860, 0.012847, -0.001575, 1.284169
9, 0.244060, 0.852187, 0.471273, 4.992794, 0.244105, 0.852590, 0.470342, 4.982710, 120593.405417, 0.050434, 0.071531, 0.032860, 0.013294, -0.001736, 1.324672
10, 0.207316, 0.834703, 0.412369, 4.958087, 0.207290, 0.835007, 0.411574, 4.948709, 123032.004673, 0.053343, 0.079524, 0.032860, 0.015337, 0.000983, 1.352138
11, 0.217844, 0.846769, 0.380583, 5.097992, 0.217857, 0.847183, 0.379897, 5.086693, 92174.375955, 0.055465, 0.079524, 0.032860, 0.016089, -0.002988, 1.012719
12, 0.207316, 0.834703, 0.412369, 4.958087, 0.207290, 0.835007, 0.411574, 4.948709, 123032.004673, 0.057996, 0.085839, 0.032860, 0.017543, 0.000983, 1.352138
13, 0.207316, 0.834703, 0.412369, 4.958087, 0.207290, 0.835007, 0.411574, 4.948709, 123032.004673, 0.060117, 0.085839, 0.032860, 0.018386, 0.000983, 1.352138
