iter, hl, mif1, avp, log_loss, hl_val, mif1_val, avp_val, log_loss_val, sparsity, HV_mu, HV_max, HV_min, HV_std, weight_mu, weight_std
1, 0.452323, 0.871860, 0.775400, 20.025095, 0.452358, 0.871794, 0.775567, 20.040732, 4074.290399, 0.015967, 0.015967, 0.015967, 0.000000, 0.018811, 1.007054
2, 0.444666, 0.865170, 0.752599, 19.405003, 0.444516, 0.864958, 0.751697, 19.417518, 4328.140489, 0.017955, 0.019943, 0.015967, 0.001988, 0.013045, 1.059881
3, 0.471759, 0.877142, 0.680942, 19.846668, 0.471603, 0.876926, 0.680876, 19.849252, 4456.096076, 0.019568, 0.022795, 0.015967, 0.002800, 0.013181, 1.102623
4, 0.392034, 0.902137, 0.663169, 21.372840, 0.391961, 0.901941, 0.662371, 21.381912, 4701.125200, 0.020912, 0.024943, 0.015967, 0.003361, 0.008998, 1.161641
5, 0.392034, 0.902137, 0.663169, 21.372840, 0.391961, 0.901941, 0.662371, 21.381912, 4701.125200, 0.023620, 0.034454, 0.015967, 0.006195, 0.008998, 1.161641
6, 0.392034, 0.902137, 0.663169, 21.372840, 0.391961, 0.901941, 0.662371, 21.381912, 4701.125200, 0.024950, 0.034454, 0.015967, 0.006390, 0.008998, 1.161641
7, 0.365552, 0.858821, 0.635805, 19.590307, 0.365493, 0.858639, 0.634921, 19.598581, 3676.176660, 0.026847, 0.038228, 0.015967, 0.007522, -0.015867, 0.908413
8, 0.392034, 0.902137, 0.663169, 21.372840, 0.391961, 0.901941, 0.662371, 21.381912, 4701.125200, 0.027929, 0.038228, 0.015967, 0.007596, 0.008998, 1.161641
9, 0.392034, 0.902137, 0.663169, 21.372840, 0.391961, 0.901941, 0.662371, 21.381912, 4701.125200, 0.028316, 0.038228, 0.015967, 0.007245, 0.008998, 1.161641
10, 0.372072, 0.852261, 0.529806, 19.634666, 0.372120, 0.852081, 0.528280, 19.638799, 4448.997158, 0.029856, 0.043711, 0.015967, 0.008281, -0.031736, 1.103131
11, 0.392034, 0.902137, 0.663169, 21.372840, 0.391961, 0.901941, 0.662371, 21.381912, 4701.125200, 0.031676, 0.049873, 0.015967, 0.009770, 0.008998, 1.161641
12, 0.392034, 0.902137, 0.663169, 21.372840, 0.391961, 0.901941, 0.662371, 21.381912, 4701.125200, 0.032999, 0.049873, 0.015967, 0.010332, 0.008998, 1.161641
13, 0.295701, 0.835493, 0.473218, 19.555472, 0.295621, 0.835149, 0.472570, 19.555573, 5009.716381, 0.035010, 0.059141, 0.015967, 0.012127, -0.049041, 1.240287
14, 0.277613, 0.826308, 0.471147, 20.377209, 0.277567, 0.826057, 0.470705, 20.383386, 6507.491685, 0.037249, 0.066357, 0.015967, 0.014204, -0.072170, 1.597060
15, 0.277613, 0.826308, 0.471147, 20.377209, 0.277567, 0.826057, 0.470705, 20.383386, 6507.491685, 0.039279, 0.067705, 0.015967, 0.015685, -0.072170, 1.597060
16, 0.277613, 0.826308, 0.471147, 20.377209, 0.277567, 0.826057, 0.470705, 20.383386, 6507.491685, 0.040766, 0.067705, 0.015967, 0.016242, -0.072170, 1.597060
17, 0.251582, 0.814867, 0.442885, 20.135644, 0.251469, 0.814534, 0.441869, 20.147093, 5803.513194, 0.042773, 0.074879, 0.015967, 0.017684, -0.061099, 1.436960
18, 0.277613, 0.826308, 0.471147, 20.377209, 0.277567, 0.826057, 0.470705, 20.383386, 6507.491685, 0.044878, 0.080664, 0.015967, 0.019253, -0.072170, 1.597060
19, 0.277613, 0.826308, 0.471147, 20.377209, 0.277567, 0.826057, 0.470705, 20.383386, 6507.491685, 0.047212, 0.089213, 0.015967, 0.021194, -0.072170, 1.597060
